User Email,to articulate my own personal & workplace values (baseline),to identity organisations that share my personal and workplace values (baseline),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (baseline)",and take into consideration local culture and business intelligence when working with an international client/organisation (baseline),to articulate my own personal & workplace values (final),to identity organisations that share my personal and workplace values (final),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (final)",and take into consideration local culture and business intelligence when working with an international client/organisation (final),to articulate my own personal & workplace values (change),to identity organisations that share my personal and workplace values (change),"at perceiving others’ worldviews and effectively acknowledging, navigating and respecting these views when working in a multicultural team setting (change)",and take into consideration local culture and business intelligence when working with an international client/organisation (change)
29da6a70c1106c50993746898aa05bb436857fdf6409ee307f80e52a539233b3,5.0,4.0,4.0,4.0,5,5,5,5.0,0.0,1.0,1.0,1.0
19fac2266092c977a8e6de752a4da49997993516d7ec74f09d52b93946528f3f,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
4665c2992b0e00e90d143723db78d76c4ddaf043490f877edd69dc8504164656,5.0,4.0,4.0,3.0,5,5,5,5.0,0.0,1.0,1.0,2.0
f7f2895080a1d4762d93434e8524d2c69fbf1eac3f9715c6f2ae6b178b03de27,4.0,4.0,4.0,3.0,4,4,4,4.0,0.0,0.0,0.0,1.0
7768aef6b2aada836406de8a1451f8951a51b2e50904110a53607287421daa8a,4.0,3.0,4.0,4.0,4,4,4,4.0,0.0,1.0,0.0,0.0
f0243033a7717d7e2328693186675b53147a355f6b08fcd387e82103c66d8746,5.0,5.0,5.0,4.0,4,4,4,4.0,-1.0,-1.0,-1.0,0.0
9701c2be75ae5f3843a03d5a73bea0a2c0e4ff22c649e08f6d47f1e6bf89e10b,5.0,4.0,5.0,4.0,4,5,4,5.0,-1.0,1.0,-1.0,1.0
300a3b613f1a4a756babcd624d993defc3392e21a2aebfd05b9cf1410213c1d4,4.0,3.0,3.0,3.0,4,4,4,4.0,0.0,1.0,1.0,1.0
12577e421c758cf4590ecabab057afa72c2528cb03a726ad8d864bef337a302c,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
f8bce06f23f37aa3d995cf7450e4e966e71033b27cdcf42ce9deb8142ce20a71,4.0,4.0,5.0,3.0,5,5,4,5.0,1.0,1.0,-1.0,2.0
1455dffb95fd1a8b92a710b60821d65ead8d154d276b8c7a9bd816f84f33a447,2.0,1.0,2.0,2.0,1,1,1,1.0,-1.0,0.0,-1.0,-1.0
59f31d5b5f95988c9f86045fbe5c3ac08a77219a2661d55cd9d642997e0736f5,3.0,3.0,4.0,4.0,3,3,4,4.0,0.0,0.0,0.0,0.0
e74b0490e3856157fe7918b46a0c0093d76c411de7ea5cc0b16d6d61a823e14f,5.0,4.0,3.0,4.0,4,4,4,4.0,-1.0,0.0,1.0,0.0
103b7d8b8b3a60e10026bfa9788a6bfd0ee2a4b9ad20996aa9274ac76edc55dc,4.0,4.0,5.0,5.0,4,5,5,5.0,0.0,1.0,0.0,0.0
b639aeea9d18d901a94e28843d3344ebcda5aa30384c62416af5e324114ebc10,4.0,3.0,4.0,4.0,3,4,4,4.0,-1.0,1.0,0.0,0.0
ff502187432195570c3295c81333cf675bdd9187839ea7b4ad71fbd54179de09,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
9f668cbae2a59faa06113e774dfdde65fbeba0e5e8eabe2ba92bab5737708011,5.0,5.0,5.0,5.0,4,4,4,4.0,-1.0,-1.0,-1.0,-1.0
c8577212f8bcf18fba127be53e1af282467396043c6b130f2d0ce15e2f4c4dcc,4.0,4.0,5.0,4.0,5,5,5,4.0,1.0,1.0,0.0,0.0
8470960659a6cf9421dccefae3707fef446603f4c59eedff3acb6fc139031aa1,5.0,4.0,4.0,3.0,4,4,4,4.0,-1.0,0.0,0.0,1.0
c6d0a7e5058c9ff6785be613cdbc66e14aad2bbba8c511c9c722f651036914fa,3.0,4.0,4.0,3.0,4,5,4,5.0,1.0,1.0,0.0,2.0
98c9f1353b5c49ae1daa34adcb1414c837219304d3423ee228223547e41d2030,4.0,4.0,3.0,3.0,4,4,4,4.0,0.0,0.0,1.0,1.0
fe7d902e5e8635c35482c2cb814f3602aaf861d74d699d4b2d61c1b9ee89a5c1,4.0,4.0,3.0,3.0,5,4,4,4.0,1.0,0.0,1.0,1.0
847efd21f691a14756f2f6aa266fdae9abb9803f5a609761908d03bd6311ebc5,4.0,4.0,4.0,4.0,5,5,5,5.0,1.0,1.0,1.0,1.0
4cbe13f8e6ad26038001b04e23f9a9c55474b5974cb31afc42ae7462833bce20,5.0,4.0,5.0,4.0,2,2,2,4.0,-3.0,-2.0,-3.0,0.0
48a2c2833fd8d06b6b377947a63687de5e963d3234530dca6d3fa93c12b3c1cc,5.0,3.0,4.0,3.0,3,4,2,4.0,-2.0,1.0,-2.0,1.0
5be1e30a0b86121875c16788adc9e1b52066946c513fbf013e22841531163183,2.0,3.0,3.0,3.0,3,4,3,4.0,1.0,1.0,0.0,1.0
76d487ceb043c69acb82a033d21d2fa877be117c7d2cc4ab928888ef85f15933,4.0,3.0,4.0,4.0,4,4,4,4.0,0.0,1.0,0.0,0.0
dade15d503b8e933e9bd5811f2d1e633fa4f6cc8e1ec0c8de82b5a11d72e5ac4,4.0,3.0,4.0,3.0,5,5,5,5.0,1.0,2.0,1.0,2.0
76fa5cbc4f1178649daea59e9c7e45b17034e2860838f9ff312986dda2d97c08,5.0,5.0,5.0,5.0,5,4,4,4.0,0.0,-1.0,-1.0,-1.0
cf65fb5274a666dc8f72bd7ea0b27201737f52cc10c276a0d94d34d822925724,3.0,2.0,3.0,2.0,5,5,5,5.0,2.0,3.0,2.0,3.0
eda36b2d3a1dc392cbcdaaf614ead73da235cfacb0373708e3d8a4e3f381ba5f,3.0,3.0,3.0,3.0,3,3,3,3.0,0.0,0.0,0.0,0.0
67fb2b8a55315af9575a19fe059ea1316a758d077bbe65db7da7f5283284fe24,3.0,4.0,3.0,4.0,5,4,4,5.0,2.0,0.0,1.0,1.0
2c664150be8db9b756f3bc78ac801a976c91a47f4ef5cc8e11abfe144e6f1e8d,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
00a7e2b7b9ac6f1e0d072f70f526c90f7dca510c5c402f467a41e76de32bd87e,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
f0f2117df9853b99c68f79e08c5c4caa96e77948bb8e42f7621bc64d964ba0d8,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
14a6b75176e6fa5f70f9b654258a14a1bb96ec41f6a6dfd52d78a86595236fe2,4.0,4.0,3.0,3.0,5,4,5,5.0,1.0,0.0,2.0,2.0
2028e763fb18a897ca8ecbeacff76270c60404f89c1ae50c5abf2c100e1e79a9,4.0,4.0,3.0,4.0,4,4,4,4.0,0.0,0.0,1.0,0.0
4981b10710b3426edce6e239ccc87af039e4fc7b9778328363a98644b44a7922,4.0,4.0,4.0,4.0,5,3,5,5.0,1.0,-1.0,1.0,1.0
5bf9d4ea03c0f8c855369063dadf8198167cea14f8bacab27ba4d06bbd9ef16f,4.0,4.0,5.0,5.0,5,5,5,5.0,1.0,1.0,0.0,0.0
e5e4f6b969c520f38ac61c5a33013b1497de74817f42b6676cc5b33c34d31bde,4.0,4.0,5.0,5.0,4,4,5,4.0,0.0,0.0,0.0,-1.0
9ee6672e123dc80fb0a264e88b43305c22f59f40290481d9fb59a0d49025887f,5.0,4.0,5.0,5.0,4,5,4,5.0,-1.0,1.0,-1.0,0.0
ba9c38cee8e0de6592015b3911d41d043d447b9cd6b2811846693d2a371c9a22,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
524944eb361087fc42ab81cde1c34d615183d0147220bbee5731a88a247dcc95,4.0,4.0,5.0,4.0,5,4,5,4.0,1.0,0.0,0.0,0.0
d92d92d35254076cc7e5e532875f22f5042e2866942dca7f3fe7c1a08b934c53,4.0,4.0,4.0,4.0,5,5,4,5.0,1.0,1.0,0.0,1.0
f71f343d33bcaaef82d322da359bd3c7a85eab0f594b83833160eed177038c6c,4.0,3.0,4.0,4.0,5,5,5,4.0,1.0,2.0,1.0,0.0
c6f4a345b80dc12f709376e7ba2327641c461a9904bbe4b9c9e3d4da35e186c7,2.0,2.0,3.0,4.0,4,3,5,4.0,2.0,1.0,2.0,0.0
941b0171f5fae0503b4a98d93357ae38d98420e2f591230ac9aacf60d68fe8d4,5.0,4.0,5.0,5.0,5,5,5,5.0,0.0,1.0,0.0,0.0
f2b81fdf9478e65645f721944e574f94353b06180f69111db66d1fa0991aa2ee,4.0,3.0,5.0,4.0,5,4,5,5.0,1.0,1.0,0.0,1.0
c61780a5947c43d66e37f7af40e0879da95ea3b7c1dda509ae4a08cd022892ec,5.0,5.0,4.0,4.0,5,5,4,5.0,0.0,0.0,0.0,1.0
d07082395685ffae3e7dae3392958ac86150903a01a0969def2352095be1b1fa,5.0,5.0,4.0,4.0,4,3,5,5.0,-1.0,-2.0,1.0,1.0
2f3657cc7b2c47eff3d3764693001271d7bfd862c0511513b785970261f1760d,5.0,3.0,5.0,5.0,5,5,5,5.0,0.0,2.0,0.0,0.0
6191bd3900cd99b15817ffa5b0b7316dc8e8b6dac627e8b1b06d8c89602f90f7,5.0,3.0,3.0,2.0,5,5,5,5.0,0.0,2.0,2.0,3.0
4809322de194c3cd6abb53d40da5a110d2502bdc5de2a34d41638a53f7c6d751,4.0,5.0,5.0,5.0,5,5,5,5.0,1.0,0.0,0.0,0.0
30338d6ce76910f1205e317b893995930af01f61fe84fa6112af868b4c63ef30,4.0,2.0,3.0,2.0,4,2,3,4.0,0.0,0.0,0.0,2.0
26ffcf4c91006a15f9f587c14633e7c4b02c73e7f0f69195f139b4f43a06d20a,4.0,5.0,3.0,4.0,5,5,4,5.0,1.0,0.0,1.0,1.0
b5a53e4247eeb8407835e2df1020d91c4758902e1ede373ef0480d7b9241d210,3.0,4.0,3.0,3.0,4,3,4,4.0,1.0,-1.0,1.0,1.0
5ffa541db812606e6ede19cc727e0efef77afaa2ad6c2b0b96aa5ec4737cb8c1,5.0,5.0,5.0,4.0,5,5,5,5.0,0.0,0.0,0.0,1.0
c6132040ebed9c538c4f81488d7116178ce3b458a3634555956c5d707e9e2eb0,4.0,3.0,4.0,4.0,5,4,5,5.0,1.0,1.0,1.0,1.0
3226644c5fdcc2a1759e01a45f8959579996a6d70b51d76f331c0b8ee6a8d0df,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
4fa9693fcc4e7d370f8d3e9de93b1859638f5166b79a25e6633abaf7c9cf3c55,4.0,3.0,5.0,3.0,5,5,5,5.0,1.0,2.0,0.0,2.0
3b971cf1a2ff0d1a674b2fcc81473eeb2889f33f2a670254604c251ed52a0219,3.0,4.0,4.0,3.0,4,4,4,4.0,1.0,0.0,0.0,1.0
7f0f6acfe433220d15d1c2673b07f143059500d2e6b4389d77a0e92fb8a790a7,5.0,3.0,4.0,4.0,5,5,4,5.0,0.0,2.0,0.0,1.0
d1d414405c2613d7ddaf441c964e7e4ab9c7172b4923882a1ec401ff739f50d4,4.0,5.0,4.0,5.0,5,5,5,5.0,1.0,0.0,1.0,0.0
a1e3d65edd29d02f0709ec57748f675769e5d55019bfcc33aca8ee3fae631609,3.0,3.0,3.0,3.0,4,4,4,4.0,1.0,1.0,1.0,1.0
c34a979ded4ed502c459c07d28117a969745e449efb1718f955596672eb060de,4.0,2.0,4.0,2.0,3,3,4,4.0,-1.0,1.0,0.0,2.0
bfe3370705ad87adcc2ca45375262b34395085f5fefd508b53c97dffbde70203,4.0,4.0,5.0,5.0,5,5,5,5.0,1.0,1.0,0.0,0.0
3226bfe31dd8969ed039cd7b78e794c2138077f1f53f2adb0e5849af3398f1ed,3.0,4.0,4.0,5.0,4,5,5,5.0,1.0,1.0,1.0,0.0
372fe5fe66165bf71b71535a06bbdb34ee7a23f8c0eedac02a7e44f17e4c48c5,3.0,4.0,4.0,4.0,5,5,5,5.0,2.0,1.0,1.0,1.0
d32da609ea57b157ac9d71ad7173606d85a73b8045750efbea04e0355a8c46de,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
89bf54e332c6ce08bed0a5dd3b306812ba0246b19386273f3b1866fa9d5bb775,5.0,4.0,4.0,4.0,4,5,4,5.0,-1.0,1.0,0.0,1.0
3a8deebffddf1c4a322c80cfe1e4aa4026a48457f1030f7795cb2d40a6f75fb3,4.0,4.0,4.0,3.0,5,5,5,4.0,1.0,1.0,1.0,1.0
5b7f297d906bfdaab460dc8710f29e792e318a329ec83bff0b52eed5acc55ce8,4.0,3.0,4.0,4.0,5,5,5,5.0,1.0,2.0,1.0,1.0
a651f7c9ce178ebebe49ce84a300d65edf8df23086736c6a050d0accebd2e78c,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
ab228a3f548539ee96bb02ae9e3478096aacf821502f690bef4f9387f3424c73,2.0,2.0,2.0,2.0,4,4,4,4.0,2.0,2.0,2.0,2.0
1c59700e8d606c9bd7ff14a8dbf2d43ceaedaffcd5dba2f8b79d245ea6b9d436,4.0,3.0,5.0,3.0,5,4,5,5.0,1.0,1.0,0.0,2.0
0e577523b17366e0be04fd6d8d0b3ba941e38b97bb4d3a8b95584d0342e82007,4.0,3.0,4.0,3.0,4,4,4,5.0,0.0,1.0,0.0,2.0
d873d141983c2618a5726618014427808e2ee157c08b1dc51355a249a1ba2c13,5.0,4.0,4.0,4.0,5,4,5,3.0,0.0,0.0,1.0,-1.0
dd52111e015047f694da111030b0645c981b009b38a7bbf86128d563c9a2533b,3.0,2.0,4.0,2.0,4,5,4,5.0,1.0,3.0,0.0,3.0
18a2dc3b5403a8098d7394dfbccf6a3008037b5f23512801eee9c35f3983faec,3.0,3.0,3.0,3.0,3,4,4,4.0,0.0,1.0,1.0,1.0
ee47fa4ae99fb68003b4dd9589e0c065ae6f37aaeeef99547ed890faac91080e,3.0,2.0,4.0,2.0,4,4,5,5.0,1.0,2.0,1.0,3.0
99516e7e08dc5ce67d5adc2363f5d58bd05cd8d3a39dc7768727a7d65349cf70,3.0,4.0,3.0,4.0,5,5,4,5.0,2.0,1.0,1.0,1.0
5da22866f1a8c24329df40fbaa41e09a9e60b1025b2b6eb6d52ddbfd908ced6a,4.0,4.0,4.0,4.0,4,3,3,4.0,0.0,-1.0,-1.0,0.0
f2c843d1a4b9aaaadf5ddc280b33546b12e1283bc6624345dce3dc4fd047e100,3.0,2.0,4.0,3.0,4,3,4,4.0,1.0,1.0,0.0,1.0
df0bd5cd8fbe048dfd778c4972aef4fa2f32b98b76258de096e9de047d8486ea,3.0,3.0,3.0,3.0,4,4,3,3.0,1.0,1.0,0.0,0.0
52495456a5de9639e0291ad3838733424ef4ac28582999af4719e0909dc2a197,3.0,2.0,4.0,4.0,4,4,3,3.0,1.0,2.0,-1.0,-1.0
f7d7ff3a49bb5e5d5adfbcd73c66290fb2fdecb0c1184aa56f2d9c849a7c5d07,4.0,3.0,5.0,3.0,5,4,5,4.0,1.0,1.0,0.0,1.0
1846bbd4ca46bef1d932f8e40b2bf68679d7b26f4872d2a9c327359fb3368220,3.0,3.0,5.0,5.0,4,5,4,5.0,1.0,2.0,-1.0,0.0
b754ab4bf8c5794e7dcafc08b98e91aaf11705c9ca3dcffb39f6ba02db6e7050,4.0,4.0,5.0,5.0,5,5,5,5.0,1.0,1.0,0.0,0.0
c77d697c7dff7316e51662dc47892aadb97e05f6e152278955e4863116d6599d,3.0,4.0,5.0,5.0,4,4,4,4.0,1.0,0.0,-1.0,-1.0
db8edd1499249d710906d996d0afdfa1d34c7b7cabdc403f6dd3c29d1556ad3d,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
942dfe9c621991351fb217841f7672bd28aa683acd32fc421d2ab8a79fade2c4,5.0,4.0,5.0,5.0,5,5,5,5.0,0.0,1.0,0.0,0.0
32b45f6628deeac9fe10f1e188648b1e6a445a792c0eb48565010fb10c31c849,4.0,3.0,3.0,3.0,4,4,4,4.0,0.0,1.0,1.0,1.0
b8778bfd9360fbdaa24de80b06aeb970a343bfe864dea3ea381ff2e73d823083,3.0,3.0,5.0,5.0,4,4,5,5.0,1.0,1.0,0.0,0.0
475da0a80520a0ad0377a52bf095b05fc9ac8817bba9ea44a385515e30ebdb3e,3.0,2.0,4.0,4.0,5,5,5,5.0,2.0,3.0,1.0,1.0
24fc97bd0f6a377528675d4ea62aa589428ea687d59e23bcb3b7bf7bea7a7982,4.0,4.0,5.0,3.0,4,4,5,4.0,0.0,0.0,0.0,1.0
da7fabd17d5e40757e29a613087bcdf560fa4fb65eab247766ab0462458d467d,3.0,2.0,4.0,3.0,5,5,5,5.0,2.0,3.0,1.0,2.0
296b3fad3c55bc33b6718efde52630caa6a0f9a6f8b7b262fa649cd7ee2732a2,3.0,3.0,4.0,2.0,4,4,4,5.0,1.0,1.0,0.0,3.0
ee9913120ecef842e46ae4ac5c673b550a0bdb03f1280a5b2b5a70897197a9c8,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
ae843c274eb8f3f1bfa066a28fee832c0accd4594c1cf3139984cd6f07f2ad67,3.0,3.0,5.0,3.0,4,4,4,4.0,1.0,1.0,-1.0,1.0
622c57be627e66434a361d8e88f7b2c38c7e8940e5ed8901b87792f0450cb0a2,4.0,3.0,5.0,4.0,4,4,4,4.0,0.0,1.0,-1.0,0.0
0dca126cf44b817fff35096e04e2d2cf522a539388997801d4079378872219d1,4.0,4.0,4.0,4.0,5,5,5,5.0,1.0,1.0,1.0,1.0
7ee061ebb248e7d22ab908ffb60501e0faf6a275dc6df7670d119e9c97f00b7d,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
b42921fe42ec50cf46e9c983e3ab53b10dc79e50dec78bde2fdeff3d6592bfc3,4.0,4.0,3.0,4.0,4,3,5,5.0,0.0,-1.0,2.0,1.0
c63aa200e022ed54ada53eb0fb88b5592fdc21eb23138f2c8eac9dfb390c99da,3.0,5.0,4.0,4.0,5,5,5,5.0,2.0,0.0,1.0,1.0
71a1f1a7ab2dc5f351e7ec0f7080d9550c42c743ca0fe5217441cea564702460,4.0,3.0,3.0,3.0,4,4,4,5.0,0.0,1.0,1.0,2.0
30307f3d82aa624aa48ddb6c0e4320ec16f5325fa7c170adbe4b3170db8d7c8d,4.0,3.0,3.0,3.0,4,4,3,3.0,0.0,1.0,0.0,0.0
6c7e05559c45fb0f8a247da108374dc87a142b08cc97bd6d387a0e55bef5ec9f,4.0,4.0,4.0,3.0,4,4,4,4.0,0.0,0.0,0.0,1.0
bb718314e31deae3e9028b9aa28ce63561b8f5fce904ba7f7f884cfb617b9f27,4.0,2.0,5.0,5.0,5,3,5,5.0,1.0,1.0,0.0,0.0
58654241b238b4fea21e916ce0c0549d0692ea923083a0c3c3853b1a6a83ea9f,3.0,3.0,4.0,3.0,5,5,5,5.0,2.0,2.0,1.0,2.0
9e61abad297f2105f741c877b0c7a55d40eb4611b45d0c519794c3088c7bcf30,3.0,3.0,4.0,5.0,4,5,5,5.0,1.0,2.0,1.0,0.0
1805e372bd131e5c5e617f9855c24e810f4dcfe0707f3e100fb41fd12aae4e13,4.0,4.0,4.0,4.0,5,5,5,4.0,1.0,1.0,1.0,0.0
de42517ce8315198a883624639408574ca32c4ff6faf802f416d65b833f6d9cc,4.0,3.0,5.0,5.0,4,4,4,4.0,0.0,1.0,-1.0,-1.0
0cedf7df88f76c09c2770f0b3cb73d6609513388ebf3e4c5d432698ffa84181f,3.0,2.0,4.0,2.0,4,4,4,4.0,1.0,2.0,0.0,2.0
d0e62d26666399317f4c5630bb5fda749c415a13cd258f6f45980fadd0a3d7e2,4.0,3.0,4.0,3.0,4,4,4,4.0,0.0,1.0,0.0,1.0
3190076377148a037b484455de3b042432e76fe4918dd0c7745bac27990b4239,4.0,4.0,4.0,3.0,4,4,5,4.0,0.0,0.0,1.0,1.0
5ce3fd35fffa9fb1b0a4217ea0cee1b0a63f1cfedda273bc34a03e05bb6389e9,4.0,4.0,4.0,4.0,5,5,4,5.0,1.0,1.0,0.0,1.0
89b45e2fd6b2c3c3c0146573db488bc9aca5f095a9475d76c5857e258621b09e,3.0,3.0,4.0,4.0,4,4,4,4.0,1.0,1.0,0.0,0.0
27059c868afbfaf9e405b82d9556ed81b94b709f80a6121e75aa34a3ca8606fb,4.0,5.0,4.0,2.0,5,5,4,5.0,1.0,0.0,0.0,3.0
4e622edb346962bd59e595aa7736d8050db0c83b4f21ad9a7950a4e828f6332e,5.0,5.0,5.0,5.0,5,5,5,5.0,0.0,0.0,0.0,0.0
b397d0be0340c34fc8980f8dc9c19f5b4d66a8344b393428884c29cff0a325f0,4.0,2.0,3.0,4.0,4,4,4,4.0,0.0,2.0,1.0,0.0
64721713f254be67c7f4203f3691a09909486c60a46cf7565c89fe1aad9dcb17,3.0,3.0,5.0,2.0,4,4,5,4.0,1.0,1.0,0.0,2.0
037e353452a3c48a549758a69c414e17845716fb02f0215d4d4144be6470f805,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
3410ada7c7ab3de647ec74db685f9164918b6be5b543be7dc5ad0e98cbdec4fd,5.0,3.0,5.0,5.0,4,4,5,5.0,-1.0,1.0,0.0,0.0
2dcc58a1bb0d59db4d82ac15de167478ec4af91178ce4b821d5e42e021bbf826,4.0,4.0,4.0,4.0,4,4,4,4.0,0.0,0.0,0.0,0.0
d3022f089a1ece18824d685be38e28b5465efd58860fd3b4f4fdbc28de1495a2,4.0,4.0,4.0,4.0,5,4,4,4.0,1.0,0.0,0.0,0.0
897ec107352dbd1bbcfcf271c36ff89e955de3e47c3a9bcbf974df3782c3b7d5,5.0,4.0,4.0,4.0,5,5,4,4.0,0.0,1.0,0.0,0.0
